Region,Country,Item Type,Sales Channel,Order Priority,Order Date
Sub-Saharan Africa,Namibia,Household,Offline,M,8/31/15
Europe,Iceland,Baby Food,Online,H,11/20/10
Europe,Russia,Meat,Online,L,6/22/17
Europe,Moldova ,Meat,Online,L,2/28/12
Europe,Malta,Cereal,Online,M,8/12/10
Asia,Indonesia,Meat,Online,H,8/20/10
Sub-Saharan Africa,Djibouti,Household,Online,M,2/3/11
Europe,Greece,Household,Online,L,9/11/15
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,M,1/31/14
Sub-Saharan Africa,Nigeria,Cosmetics,Online,C,11/21/15
Sub-Saharan Africa,Senegal,Fruits,Offline,M,8/29/16
Middle East and North Africa,Afghanistan,Cosmetics,Offline,L,10/21/16
Asia,India,Vegetables,Online,C,3/21/10
Middle East and North Africa,Lebanon,Vegetables,Online,L,10/15/10
Middle East and North Africa,Turkey,Office Supplies,Online,L,10/4/10
Middle East and North Africa,Iraq,Cosmetics,Offline,M,10/14/14
Sub-Saharan Africa,Rwanda,Personal Care,Offline,M,6/15/13
Europe,Ukraine,Baby Food,Offline,M,5/7/17
Europe,Finland,Office Supplies,Online,H,5/21/15
Sub-Saharan Africa,South Sudan,Beverages,Offline,H,6/28/16
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Offline,M,7/6/15
Middle East and North Africa,Kuwait,Personal Care,Online,C,2/18/12
Europe,United Kingdom,Office Supplies,Offline,C,9/9/14
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Online,C,8/24/13
Central America and the Caribbean,Antigua and Barbuda ,Personal Care,Offline,M,9/4/15
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,L,2/26/17
Middle East and North Africa,Kuwait,Personal Care,Offline,H,7/15/15
Sub-Saharan Africa,South Sudan,Office Supplies,Online,L,2/9/13
Middle East and North Africa,Tunisia ,Snacks,Online,M,3/27/13
Middle East and North Africa,Yemen,Cereal,Online,H,7/23/16
Sub-Saharan Africa,Guinea,Vegetables,Offline,L,3/18/17
Australia and Oceania,Tuvalu,Household,Online,M,3/3/14
Asia,South Korea,Cereal,Offline,H,1/23/15
Europe,San Marino,Meat,Offline,L,3/17/17
Central America and the Caribbean,Trinidad and Tobago,Household,Online,L,6/8/11
Europe,Kosovo,Meat,Offline,H,2/14/16
Europe,Hungary,Personal Care,Online,C,11/11/12
Sub-Saharan Africa,Botswana,Personal Care,Offline,M,10/26/10
Middle East and North Africa,Turkey,Beverages,Online,H,8/21/12
Europe,Serbia,Cosmetics,Online,C,9/5/10
Central America and the Caribbean,Guatemala,Personal Care,Online,M,7/5/13
Middle East and North Africa,United Arab Emirates,Household,Offline,H,10/29/11
Australia and Oceania,Samoa ,Vegetables,Offline,C,7/18/12
Sub-Saharan Africa,Botswana,Beverages,Offline,L,4/12/12
Middle East and North Africa,Bahrain,Office Supplies,Offline,H,4/14/16
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,Online,C,12/13/11
Middle East and North Africa,Pakistan,Baby Food,Offline,M,6/10/10
Europe,Hungary,Beverages,Online,C,8/21/12
Europe,Poland,Cereal,Online,L,11/28/12
Middle East and North Africa,Tunisia ,Office Supplies,Online,C,6/23/10
Europe,Lithuania,Fruits,Offline,M,3/11/13
Australia and Oceania,Samoa ,Vegetables,Offline,H,1/18/11
Sub-Saharan Africa,Sudan,Beverages,Offline,M,4/1/10
Europe,Portugal,Personal Care,Offline,H,4/8/14
Australia and Oceania,Fiji,Vegetables,Online,C,7/5/12
Sub-Saharan Africa,Tanzania,Meat,Online,M,5/15/14
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Online,H,2/28/15
Sub-Saharan Africa,Cape Verde,Meat,Online,L,1/18/15
Middle East and North Africa,Lebanon,Vegetables,Offline,C,4/7/15
North America,Greenland,Personal Care,Online,H,4/27/14
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Online,H,10/16/11
Europe,Georgia,Meat,Online,H,2/6/12
Central America and the Caribbean,Jamaica,Meat,Online,L,3/2/13
Europe,Bulgaria,Snacks,Online,H,3/11/10
Asia,Kazakhstan,Household,Offline,H,7/29/14
Sub-Saharan Africa,Rwanda,Clothes,Online,H,4/16/12
Central America and the Caribbean,Grenada,Cosmetics,Offline,C,1/31/13
Central America and the Caribbean,Honduras,Office Supplies,Online,H,6/1/16
Asia,Mongolia,Office Supplies,Online,M,3/27/15
Central America and the Caribbean,Belize,Meat,Offline,M,11/28/14
North America,United States of America,Meat,Offline,H,4/22/14
Sub-Saharan Africa,South Africa,Meat,Offline,C,2/21/17
Europe,Austria,Vegetables,Online,C,1/19/13
Australia and Oceania,Marshall Islands,Snacks,Offline,C,9/2/11
Sub-Saharan Africa,Sierra Leone,Household,Offline,C,2/13/16
Europe,Romania,Meat,Offline,L,8/28/11
Asia,Malaysia,Clothes,Offline,M,11/24/14
Europe,Hungary,Cosmetics,Offline,C,1/5/17
Australia and Oceania,New Zealand,Beverages,Offline,M,3/30/10
Sub-Saharan Africa,Mozambique,Office Supplies,Offline,C,5/25/14
Sub-Saharan Africa,Namibia,Beverages,Offline,M,6/25/12
Middle East and North Africa,Tunisia ,Personal Care,Offline,M,1/30/15
Middle East and North Africa,Somalia,Office Supplies,Online,L,2/11/11
Europe,Denmark,Personal Care,Online,L,1/30/17
Australia and Oceania,Solomon Islands,Beverages,Offline,L,9/3/12
Australia and Oceania,Vanuatu,Vegetables,Online,H,9/26/12
Asia,Singapore,Meat,Offline,C,6/13/10
Europe,Luxembourg,Fruits,Online,C,6/4/11
Australia and Oceania,Australia,Cereal,Online,M,10/6/14
Asia,Brunei,Household,Online,M,11/3/16
Australia and Oceania,Papua New Guinea,Vegetables,Offline,C,2/10/15
Europe,Romania,Personal Care,Online,M,11/12/11
