Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date
Sub-Saharan Africa,Namibia,Household,Offline,M,8/31/15,897751939,10/12/15
Europe,Iceland,Baby Food,Online,H,11/20/10,599480426,1/9/11
Europe,Russia,Meat,Online,L,6/22/17,538911855,6/25/17
Europe,Moldova ,Meat,Online,L,2/28/12,459845054,3/20/12
Europe,Malta,Cereal,Online,M,8/12/10,626391351,9/13/10
Asia,Indonesia,Meat,Online,H,8/20/10,472974574,8/27/10
Sub-Saharan Africa,Djibouti,Household,Online,M,2/3/11,854331052,3/3/11
Europe,Greece,Household,Online,L,9/11/15,895509612,9/26/15
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,M,1/31/14,241871583,2/4/14
Sub-Saharan Africa,Nigeria,Cosmetics,Online,C,11/21/15,409090793,12/7/15
Sub-Saharan Africa,Senegal,Fruits,Offline,M,8/29/16,733153569,10/5/16
Middle East and North Africa,Afghanistan,Cosmetics,Offline,L,10/21/16,620358741,12/1/16
Asia,India,Vegetables,Online,C,3/21/10,897317636,4/5/10
Middle East and North Africa,Lebanon,Vegetables,Online,L,10/15/10,660954082,11/19/10
Middle East and North Africa,Turkey,Office Supplies,Online,L,10/4/10,428504407,11/13/10
Middle East and North Africa,Iraq,Cosmetics,Offline,M,10/14/14,787517440,10/19/14
Sub-Saharan Africa,Rwanda,Personal Care,Offline,M,6/15/13,145854508,7/8/13
Europe,Ukraine,Baby Food,Offline,M,5/7/17,581689441,5/29/17
Europe,Finland,Office Supplies,Online,H,5/21/15,193508565,7/3/15
Sub-Saharan Africa,South Sudan,Beverages,Offline,H,6/28/16,750110709,7/14/16
Central America and the Caribbean,Antigua and Barbuda ,Fruits,Offline,M,7/6/15,940607202,8/12/15
Middle East and North Africa,Kuwait,Personal Care,Online,C,2/18/12,424421870,3/23/12
Europe,United Kingdom,Office Supplies,Offline,C,9/9/14,281291043,9/14/14
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Online,C,8/24/13,761263549,9/25/13
Central America and the Caribbean,Antigua and Barbuda ,Personal Care,Offline,M,9/4/15,834700715,9/16/15
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,L,2/26/17,442276370,3/28/17
Middle East and North Africa,Kuwait,Personal Care,Offline,H,7/15/15,944976842,8/18/15
Sub-Saharan Africa,South Sudan,Office Supplies,Online,L,2/9/13,174100959,2/18/13
Middle East and North Africa,Tunisia ,Snacks,Online,M,3/27/13,981260049,4/4/13
Middle East and North Africa,Yemen,Cereal,Online,H,7/23/16,888377940,8/8/16
Sub-Saharan Africa,Guinea,Vegetables,Offline,L,3/18/17,637690961,4/24/17
Australia and Oceania,Tuvalu,Household,Online,M,3/3/14,141747939,3/10/14
Asia,South Korea,Cereal,Offline,H,1/23/15,733410203,2/24/15
Europe,San Marino,Meat,Offline,L,3/17/17,215851581,3/19/17
Central America and the Caribbean,Trinidad and Tobago,Household,Online,L,6/8/11,512558400,6/29/11
Europe,Kosovo,Meat,Offline,H,2/14/16,917329490,3/18/16
Europe,Hungary,Personal Care,Online,C,11/11/12,344276177,12/24/12
Sub-Saharan Africa,Botswana,Personal Care,Offline,M,10/26/10,477822291,12/10/10
Middle East and North Africa,Turkey,Beverages,Online,H,8/21/12,822704160,10/7/12
Europe,Serbia,Cosmetics,Online,C,9/5/10,953970611,10/19/10
Central America and the Caribbean,Guatemala,Personal Care,Online,M,7/5/13,966982972,8/21/13
Middle East and North Africa,United Arab Emirates,Household,Offline,H,10/29/11,127415072,10/30/11
Australia and Oceania,Samoa ,Vegetables,Offline,C,7/18/12,921253240,8/6/12
Sub-Saharan Africa,Botswana,Beverages,Offline,L,4/12/12,504796302,5/31/12
Middle East and North Africa,Bahrain,Office Supplies,Offline,H,4/14/16,154655587,4/16/16
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,Online,C,12/13/11,317754924,1/13/12
Middle East and North Africa,Pakistan,Baby Food,Offline,M,6/10/10,161330640,7/28/10
Europe,Hungary,Beverages,Online,C,8/21/12,722931563,8/25/12
Europe,Poland,Cereal,Online,L,11/28/12,860419023,12/15/12
Middle East and North Africa,Tunisia ,Office Supplies,Online,C,6/23/10,401966845,8/2/10
Europe,Lithuania,Fruits,Offline,M,3/11/13,596061360,4/19/13
Australia and Oceania,Samoa ,Vegetables,Offline,H,1/18/11,961501395,2/7/11
Sub-Saharan Africa,Sudan,Beverages,Offline,M,4/1/10,637398278,4/1/10
Europe,Portugal,Personal Care,Offline,H,4/8/14,633175837,5/16/14
Australia and Oceania,Fiji,Vegetables,Online,C,7/5/12,678570401,7/7/12
Sub-Saharan Africa,Tanzania,Meat,Online,M,5/15/14,573630797,5/16/14
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Online,H,2/28/15,638718354,3/8/15
Sub-Saharan Africa,Cape Verde,Meat,Online,L,1/18/15,364506900,2/18/15
Middle East and North Africa,Lebanon,Vegetables,Offline,C,4/7/15,661982762,5/21/15
North America,Greenland,Personal Care,Online,H,4/27/14,712444770,5/5/14
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Online,H,10/16/11,217504251,12/4/11
Europe,Georgia,Meat,Online,H,2/6/12,749085032,3/5/12
